Alcohol,Alcalinity_of_ash,Magnesium,Flavanoids,Color_intensity,Proline
14.23,15.6,127,3.06,5.64,1065
13.2,11.2,100,2.76,4.38,1050
13.16,18.6,101,3.24,5.68,1185
14.37,16.8,113,3.49,7.8,1480
13.24,21.0,118,2.69,4.32,735
14.2,15.2,112,3.39,6.75,1450
14.39,14.6,96,2.52,5.25,1290
14.06,17.6,121,2.51,5.05,1295
14.83,14.0,97,2.98,5.2,1045
13.86,16.0,98,3.15,7.22,1045
14.1,18.0,105,3.32,5.75,1510
14.12,16.8,95,2.43,5.0,1280
13.75,16.0,89,2.76,5.6,1320
14.75,11.4,91,3.69,5.4,1150
14.38,12.0,102,3.64,7.5,1547
13.63,17.2,112,2.91,7.3,1310
14.3,20.0,120,3.14,6.2,1280
13.83,20.0,115,3.4,6.6,1130
14.19,16.5,108,3.93,8.7,1680
13.64,15.2,116,3.03,5.1,845
14.06,16.0,126,3.17,5.65,780
12.93,18.6,102,2.41,4.5,770
13.71,16.6,101,2.88,3.8,1035
12.85,17.8,95,2.37,3.93,1015
13.5,20.0,96,2.61,3.52,845
13.05,25.0,124,2.68,3.58,830
13.39,16.1,93,2.94,4.8,1195
13.3,17.0,94,2.19,3.95,1285
13.87,19.4,107,2.97,4.5,915
14.02,16.0,96,2.33,4.7,1035
13.73,22.5,101,3.25,5.7,1285
13.58,19.1,106,3.19,6.9,1515
13.68,17.2,104,2.69,3.84,990
13.76,19.5,132,2.74,5.4,1235
13.51,19.0,110,2.53,4.2,1095
13.48,20.5,100,2.98,5.1,920
13.28,15.5,110,2.68,4.6,880
13.05,18.0,98,2.43,4.25,1105
13.07,15.5,98,2.64,3.7,1020
14.22,13.2,128,3.04,5.1,760
13.56,16.2,117,3.29,6.13,795
13.41,18.8,90,2.68,4.28,1035
13.88,15.0,101,3.56,5.43,1095
13.24,17.5,103,2.63,4.36,680
13.05,17.0,107,3.0,5.04,885
14.21,18.9,111,2.65,5.24,1080
14.38,16.0,102,3.17,4.9,1065
13.9,16.0,101,3.39,6.1,985
14.1,18.8,103,2.92,6.2,1060
13.94,17.4,108,3.54,8.9,1260
13.05,12.4,92,3.27,7.2,1150
13.83,17.2,94,2.99,5.6,1265
13.82,14.0,111,3.74,7.05,1190
13.77,17.1,115,2.79,6.3,1375
13.74,16.4,118,2.9,5.85,1060
13.56,20.5,116,2.78,6.25,1120
14.22,16.3,118,3.0,6.38,970
13.29,16.8,102,3.23,6.0,1270
13.72,16.7,108,3.67,6.8,1285
12.37,10.6,88,0.57,1.95,520
12.33,16.0,101,1.09,3.27,680
12.64,16.8,100,1.41,5.75,450
13.67,18.0,94,1.79,3.8,630
12.37,19.0,87,3.1,4.45,420
12.17,19.0,104,1.75,2.95,355
12.37,18.1,98,2.65,4.6,678
13.11,15.0,78,3.18,5.3,502
12.37,19.6,78,2.0,4.68,510
13.34,17.0,110,1.3,3.17,750
12.21,16.8,151,1.28,2.85,718
12.29,20.4,103,1.02,3.05,870
13.86,25.0,86,2.86,3.38,410
13.49,24.0,87,1.84,3.74,472
12.99,30.0,139,2.89,3.35,985
11.96,21.0,101,2.14,3.21,886
11.66,16.0,97,1.57,3.8,428
13.03,16.0,86,2.03,4.6,392
11.84,18.0,112,1.32,2.65,500
12.33,14.8,136,1.85,3.4,750
